,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
260,Client,160347,115284,965031,261566,894916,1098620,957071,1220688,585997,237547,364181,279996,2021-05-10
261,DII,3066,40240,38270,1086828,267,20494,0,0,0,0,35070,0,2021-05-10
262,FII,51739,49168,816640,582611,283562,337506,178044,200694,40410,43211,58966,43772,2021-05-10
263,Pro,12889,23349,212036,100972,358847,355446,402477,390684,138609,175501,306799,132491,2021-05-10
264,Client,159236,105023,977116,276628,1058720,1154918,1060906,1269830,647587,235898,388072,295511,2021-05-11
265,DII,3162,38757,37194,1082481,267,20994,0,0,0,0,36548,0,2021-05-11
266,FII,46306,64593,812651,589888,283126,358047,195202,232779,44402,45786,64201,45522,2021-05-11
267,Pro,17140,17471,224908,102872,354984,379243,440989,410593,143428,196340,346596,136991,2021-05-11
268,Client,167220,107953,995428,277606,584092,600441,614081,794928,720291,230385,419976,310747,2021-05-12
269,DII,3186,36669,39945,1079761,267,18266,0,0,0,0,37688,0,2021-05-12
270,FII,47185,70314,792375,604194,217183,317034,134056,148253,47862,48577,72483,47795,2021-05-12
271,Pro,16734,19389,235543,101730,177260,217824,230665,210384,147899,218530,385905,138950,2021-05-12
272,Client,164495,106916,991203,265298,925536,776513,967116,1009557,799413,233909,460284,322060,2021-05-14
273,DII,3186,36151,37013,1078128,267,18266,0,0,0,0,43439,0,2021-05-14
274,FII,47241,66197,787849,612531,301507,371077,185823,191277,51305,50723,79009,51256,2021-05-14
275,Pro,15782,21440,238642,98750,317140,328304,391511,293326,149676,228004,417662,139320,2021-05-14
276,Client,172845,103056,996711,261607,807999,1243329,952993,1331908,784850,253707,475242,322450,2021-05-17
277,DII,3186,39504,39405,1089306,267,20266,0,0,0,0,44588,0,2021-05-17
278,FII,54585,63964,800286,610940,289008,387567,167093,258287,55986,52727,81157,53986,2021-05-17
279,Pro,12673,36765,231790,106339,363739,424004,340927,484971,163535,217320,403384,147318,2021-05-17
280,Client,144828,117359,998079,231398,945791,1342018,1044717,1410018,755753,270761,473775,321804,2021-05-18
